City,Center,Date,Year,Month,Season,PM1.0_ATM_ug/m3,PM2.5_ATM_ug/m3,PM10_ATM_ug/m3,Temperature_F,Humidity_%,AQI
Mandalay,19th Street,2019-10-20 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-21 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-22 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-23 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-24 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-25 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-26 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-27 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-28 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-29 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-30 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-10-31 00:00:00,2019,October,Rainy Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-01 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-02 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-03 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-04 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-05 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-06 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-07 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-08 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-09 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-10 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-11 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-12 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-13 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-14 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-15 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-16 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-17 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-18 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-19 00:00:00,2019,November,Cool Season,24.36,38.3,47.16,80.4,51,107.89
Mandalay,19th Street,2019-11-20 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-21 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-22 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-23 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-24 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-25 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-26 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Mandalay,19th Street,2019-11-27 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
