City,Center,Date,Year,Month,Season,PM1.0_ATM_ug/m3,PM2.5_ATM_ug/m3,PM10_ATM_ug/m3,Temperature_F,Humidity_%,AQI
Yangon,7 Miles Mayangone,2019-10-20 00:00:00,2019,October,Rainy Season,29.6,44.27,52.87,95.67,49.64,122.59
Yangon,7 Miles Mayangone,2019-10-21 00:00:00,2019,October,Rainy Season,25.22,37.49,45.21,94.42,51.67,105.90
Yangon,7 Miles Mayangone,2019-10-22 00:00:00,2019,October,Rainy Season,24.46,35.84,42.32,95.4,49.26,101.84
Yangon,7 Miles Mayangone,2019-10-23 00:00:00,2019,October,Rainy Season,23.42,34.53,41.37,96.39,48.06,98.17
Yangon,7 Miles Mayangone,2019-10-24 00:00:00,2019,October,Rainy Season,38.29,56.55,68.59,93.7,57.11,151.54
Yangon,7 Miles Mayangone,2019-10-25 00:00:00,2019,October,Rainy Season,49.67,71.63,83.17,94.71,54.31,159.33
Yangon,7 Miles Mayangone,2019-10-26 00:00:00,2019,October,Rainy Season,36.13,52.56,63.72,95.12,52.56,143.01
Yangon,7 Miles Mayangone,2019-10-27 00:00:00,2019,October,Rainy Season,33.6,49.34,60.93,92.62,57.75,135.08
Yangon,7 Miles Mayangone,2019-10-28 00:00:00,2019,October,Rainy Season,32.67,47.93,59.21,92.98,56.14,131.61
Yangon,7 Miles Mayangone,2019-10-29 00:00:00,2019,October,Rainy Season,26.61,38.88,44.72,92.16,55.54,109.32
Yangon,7 Miles Mayangone,2019-10-30 00:00:00,2019,October,Rainy Season,24.87,36.11,44.08,93.65,52.19,102.50
Yangon,7 Miles Mayangone,2019-10-31 00:00:00,2019,October,Rainy Season,26.57,38.38,46.61,93.55,52.86,108.09
Yangon,7 Miles Mayangone,2019-11-01 00:00:00,2019,November,Cool Season,30.77,44.17,53.75,94.28,51.33,122.35
Yangon,7 Miles Mayangone,2019-11-02 00:00:00,2019,November,Cool Season,34.09,48.22,56.49,94.52,47.87,132.32
Yangon,7 Miles Mayangone,2019-11-03 00:00:00,2019,November,Cool Season,28.43,40.8,49.13,94.12,52,114.05
Yangon,7 Miles Mayangone,2019-11-04 00:00:00,2019,November,Cool Season,21.45,30.67,36.98,90.73,57.43,90.05
Yangon,7 Miles Mayangone,2019-11-05 00:00:00,2019,November,Cool Season,27.17,37.57,49.94,90.96,56.8,106.10
Yangon,7 Miles Mayangone,2019-11-06 00:00:00,2019,November,Cool Season,31.73,47.78,57.66,88.89,59.67,131.24
Yangon,7 Miles Mayangone,2019-11-07 00:00:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Yangon,7 Miles Mayangone,2019-11-08 00:00:00,2019,November,Cool Season,31.74,48.01,60.28,87.1,63.01,131.80
Yangon,7 Miles Mayangone,2019-11-09 00:00:00,2019,November,Cool Season,37.95,58.09,70.5,90.42,55.14,152.34
Yangon,7 Miles Mayangone,2019-11-10 00:00:00,2019,November,Cool Season,42.35,65.93,80.61,91.33,52.82,156.39
Yangon,7 Miles Mayangone,2019-11-11 00:00:00,2019,November,Cool Season,27.63,43.25,54.88,92.43,51.33,120.08
Yangon,7 Miles Mayangone,2019-11-12 00:00:00,2019,November,Cool Season,31.59,48.62,60.76,93.11,51.06,133.31
Yangon,7 Miles Mayangone,2019-11-13 00:00:00,2019,November,Cool Season,24.92,38.53,48.63,93.49,52.87,108.46
Yangon,7 Miles Mayangone,2019-11-14 00:00:00,2019,November,Cool Season,22.2,32.75,40.08,92.03,52.86,94.43
Yangon,7 Miles Mayangone,2019-11-15 00:00:00,2019,November,Cool Season,22.42,32.83,40.32,93.49,50,94.60
Yangon,7 Miles Mayangone,2019-11-16 00:00:00,2019,November,Cool Season,22.84,33.45,40.25,93.8,49.65,95.90
Yangon,7 Miles Mayangone,2019-11-17 00:00:00,2019,November,Cool Season,23.63,34.66,41.66,94.09,51.05,98.44
Yangon,7 Miles Mayangone,2019-11-18 00:00:00,2019,November,Cool Season,30.23,45.11,56.4,93.63,51.5,124.66
Yangon,7 Miles Mayangone,2019-11-19 00:00:00,2019,November,Cool Season,43.29,62.23,72.21,92.49,47.89,154.47
Yangon,7 Miles Mayangone,2019-11-20 00:00:00,2019,November,Cool Season,37.46,54.24,66.57,91.63,49.68,147.14
Yangon,7 Miles Mayangone,2019-11-21 00:00:00,2019,November,Cool Season,38.75,57.26,70.16,91.73,46.69,151.91
Yangon,7 Miles Mayangone,2019-11-22 00:00:00,2019,November,Cool Season,29.67,44.17,54.47,92.18,45.64,122.35
Yangon,7 Miles Mayangone,2019-11-23 00:00:00,2019,November,Cool Season,31.62,46.96,59.11,92.38,47.45,129.22
Yangon,7 Miles Mayangone,2019-11-24 00:00:00,2019,November,Cool Season,30.81,46.02,57.06,91.87,48.17,126.90
Yangon,7 Miles Mayangone,2019-11-25 00:00:00,2019,November,Cool Season,33.17,49.03,60.09,91.07,43.26,134.32
Yangon,7 Miles Mayangone,2019-11-26 00:00:00,2019,November,Cool Season,35.4,54.01,67.37,90.76,43.04,146.58
Yangon,7 Miles Mayangone,2019-11-27 00:00:00,2019,November,Cool Season,23.52,35.25,44.19,92.23,42.42,99.68
Yangon,7 Miles Mayangone,2019-11-28 00:00:00,2019,November,Cool Season,26.82,40.01,50.35,92.91,45.24,112.11
Yangon,7 Miles Mayangone,2019-11-29 00:00:00,2019,November,Cool Season,29.83,43.6,54.36,92.85,46.42,120.94
Yangon,7 Miles Mayangone,2019-11-30 00:00:00,2019,November,Cool Season,36.96,55.05,68.58,90.5,51.37,149.14
Yangon,7 Miles Mayangone,2019-12-01 00:00:00,2019,December,Cool Season,29.35,43.67,55.66,92.43,44.65,121.12
Yangon,7 Miles Mayangone,2019-12-02 00:00:00,2019,December,Cool Season,30.5,44.28,53.95,92.41,43.37,122.62
Yangon,7 Miles Mayangone,2019-12-03 00:00:00,2019,December,Cool Season,26.22,38.4,48.21,91.99,45.52,108.14
Yangon,7 Miles Mayangone,2019-12-04 00:00:00,2019,December,Cool Season,33.14,49.53,62.5,90.02,40.4,135.55
Yangon,7 Miles Mayangone,2019-12-05 00:00:00,2019,December,Cool Season,32.95,49.35,62.53,88.53,38.92,135.10
Yangon,7 Miles Mayangone,2019-12-06 00:00:00,2019,December,Cool Season,31.01,46.6,58.66,85.64,36.44,128.33
Yangon,7 Miles Mayangone,2019-12-07 00:00:00,2019,December,Cool Season,31.66,47.75,60.16,83.57,34.65,131.16
Yangon,7 Miles Mayangone,2019-12-08 00:00:00,2019,December,Cool Season,36.88,55.08,69.07,82.76,35.14,149.21
Yangon,7 Miles Mayangone,2019-12-09 00:00:00,2019,December,Cool Season,38.63,58.04,73.48,82.93,38.42,152.31
Yangon,7 Miles Mayangone,2019-12-10 00:00:00,2019,December,Cool Season,42.77,64.07,79.96,82.98,42.65,155.42
Yangon,7 Miles Mayangone,2019-12-11 00:00:00,2019,December,Cool Season,44.75,67.17,82.58,84.63,42.16,157.03
Yangon,7 Miles Mayangone,2019-12-12 00:00:00,2019,December,Cool Season,42.65,65,81.56,85.8,42.68,155.91
Yangon,7 Miles Mayangone,2019-12-13 00:00:00,2019,December,Cool Season,46.4,71.28,90.04,86.5,42.07,159.15
Yangon,7 Miles Mayangone,2019-12-14 00:00:00,2019,December,Cool Season,35.26,54.07,70.22,87.07,42.24,146.73
Yangon,7 Miles Mayangone,2019-12-15 00:00:00,2019,December,Cool Season,27.03,41.23,54.2,88.42,38.52,115.11
Yangon,7 Miles Mayangone,2019-12-16 00:00:00,2019,December,Cool Season,29.4,44.38,57,88.81,40.97,122.87
Yangon,7 Miles Mayangone,2019-12-17 00:00:00,2019,December,Cool Season,29.25,44.4,58.27,88.9,40.83,122.91
Yangon,7 Miles Mayangone,2019-12-18 00:00:00,2019,December,Cool Season,31.93,48.48,62.4,89.95,37.97,132.96
Yangon,7 Miles Mayangone,2019-12-19 00:00:00,2019,December,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37
Yangon,7 Miles Mayangone,2019-12-20 00:00:00,2019,December,Cool Season,29.34,44.59,59.39,88.53,47.01,123.38
Yangon,7 Miles Mayangone,2019-12-21 00:00:00,2019,December,Cool Season,30.77,46.51,59.34,90.56,41.83,128.11
Yangon,7 Miles Mayangone,2019-12-22 00:00:00,2019,December,Cool Season,24.14,36.63,48.02,89.98,38.36,103.78
Yangon,7 Miles Mayangone,2019-12-23 00:00:00,2019,December,Cool Season,32.68,48.39,61.89,88.33,39.16,132.74
Yangon,7 Miles Mayangone,2019-12-24 00:00:00,2019,December,Cool Season,28.41,42.5,54.9,87.99,39.73,118.24
Yangon,7 Miles Mayangone,2019-12-25 00:00:00,2019,December,Cool Season,27.47,41.59,53.9,88.68,39.1,116.00
Yangon,7 Miles Mayangone,2019-12-26 00:00:00,2019,December,Cool Season,37.95,56.85,72.3,87.01,42.6,151.70
Yangon,7 Miles Mayangone,2019-12-27 00:00:00,2019,December,Cool Season,35.03,53.33,70.05,88.62,40.65,144.90
Yangon,7 Miles Mayangone,2019-12-28 00:00:00,2019,December,Cool Season,25.08,38.18,50.35,88.1,42.43,107.60
Yangon,7 Miles Mayangone,2019-12-29 00:00:00,2019,December,Cool Season,17.58,27.05,34.74,86.83,41.75,82.44
Yangon,7 Miles Mayangone,2019-12-30 00:00:00,2019,December,Cool Season,16.1,24.77,31.09,87.77,39.57,77.65
